9.287,0.529,3.953,0.0133,-0.0016,0.0131,29.20
9.371,0.558,3.972,0.0008,-0.0064,0.0280,29.19
9.445,0.572,3.974,-0.0133,-0.0048,0.0312,29.17
9.412,0.601,3.922,-0.0234,0.0019,0.0341,29.19
9.299,0.575,3.934,-0.0261,0.0416,0.0671,29.21
9.366,0.551,3.991,-0.0141,0.0027,0.0282,29.18
9.345,0.476,3.982,-0.0029,0.0309,0.0277,29.20
9.246,0.553,4.003,-0.0019,0.0176,0.0250,29.18
9.304,0.596,4.010,-0.0131,0.0192,0.0509,29.19
9.136,0.690,4.092,-0.0429,0.0096,0.1244,29.20
9.397,0.603,3.919,-0.0703,0.0163,0.1791,29.19
9.062,0.364,4.037,-0.0709,0.0314,0.2337,29.19
9.258,0.998,4.264,-0.1375,0.0229,0.3523,29.18
9.404,0.005,4.051,-0.2294,0.0306,0.3789,29.18
9.663,-0.019,3.867,-0.2334,0.0352,0.2353,29.19
9.232,0.285,4.015,-0.2102,0.0645,0.1378,29.18
9.328,0.060,3.941,-0.1071,0.0943,0.0296,29.18
9.335,0.077,4.039,-0.0775,0.0935,0.0104,29.18
9.359,0.182,4.080,-0.0759,0.0733,0.0336,29.18
9.412,0.010,3.943,-0.0344,0.0634,0.0051,29.18
9.270,0.199,4.116,-0.0408,0.0461,0.0530,29.18
9.364,-0.005,4.058,-0.1085,-0.0064,0.1679,29.17
9.467,0.024,4.046,-0.2212,-0.0954,0.2539,29.18
9.155,0.393,4.111,-0.2697,-0.1255,0.2084,29.18
9.203,0.146,3.979,-0.2654,-0.0626,0.2014,29.19
9.369,0.223,4.116,-0.1620,0.0160,0.1641,29.19
9.376,-0.101,4.053,-0.1849,0.0773,0.2273,29.18
9.491,-0.297,4.044,-0.1807,0.1100,0.2353,29.19
9.474,-0.338,4.094,-0.1881,0.0909,0.2481,29.18
9.316,-0.175,4.152,-0.2457,0.0346,0.2467,29.18
9.208,-0.079,4.003,-0.2491,0.0560,0.2699,29.18
9.476,-0.187,4.087,-0.2076,0.0930,0.2681,29.19
9.290,-0.469,4.039,-0.1639,0.0863,0.3640,29.17
9.747,-1.111,3.632,-0.1767,0.1164,0.4330,29.17
9.622,-0.752,4.058,-0.2204,0.1937,0.5260,29.18
9.177,-0.529,4.240,-0.1639,0.2153,0.4724,29.18
9.031,-0.587,4.353,-0.3038,0.1495,0.4962,29.18
8.942,-0.498,4.310,-0.2142,0.0813,0.3776,29.17
9.014,-0.658,4.348,-0.1543,0.1023,0.2598,29.19
10.080,-0.560,4.415,-0.0610,0.1375,0.1159,29.19
9.290,-1.015,4.300,-0.0168,0.1015,0.1442,29.16
8.231,-1.132,4.178,0.0464,-0.0059,0.2459,29.18
8.923,-1.168,4.080,0.1820,-0.0975,0.3014,29.18
9.464,-0.994,4.152,0.2585,-0.0746,0.3512,29.17
8.940,-0.792,4.389,0.1660,0.0027,0.2451,29.17
8.995,-0.788,4.369,0.0967,0.0874,0.1148,29.18
8.787,-0.879,4.367,0.0570,0.1047,0.0650,29.15
9.553,-1.238,4.240,0.0088,0.1362,0.0594,29.19
9.282,-1.173,4.235,-0.0658,0.1415,0.0554,29.17
9.246,-1.030,4.312,-0.0925,0.1660,0.0333,29.17
9.134,-1.106,4.427,-0.0562,0.1820,0.0453,29.17
9.043,-0.953,4.525,-0.0216,0.1958,0.0677,29.18
9.280,-1.353,4.312,0.0719,0.1860,0.0211,29.18
9.143,-1.456,4.085,-0.0357,0.0485,-0.3352,29.18
7.913,-1.645,4.269,0.6222,-0.1932,-0.0866,29.18
9.148,-0.098,4.602,0.8620,-0.2702,-0.2737,29.17
9.840,-0.362,4.152,0.3307,0.0458,-0.0951,29.18
9.335,-1.051,4.393,0.0181,0.2614,-0.1527,29.19
8.887,-1.439,4.369,0.1737,0.0013,-0.5300,29.17
8.954,-0.910,4.197,0.7959,-0.2366,-0.7109,29.17
8.981,-1.077,4.113,1.4762,-0.3640,-0.7544,29.18
9.009,-0.251,4.623,1.7858,-0.4245,-0.8540,29.18
9.670,0.567,4.520,1.1197,-0.3059,-0.4890,29.18
9.127,0.139,4.415,0.4258,-0.1591,-0.1399,29.17
9.153,0.055,4.051,0.6131,-0.2004,-0.3960,29.17
9.270,0.084,4.037,1.1298,-0.1839,-0.4671,29.19
9.859,0.223,4.101,0.9891,-0.1617,-0.3182,29.18
9.366,0.567,4.324,0.8601,-0.1567,-0.3885,29.18
9.428,0.292,3.886,0.7384,-0.1689,-0.2798,29.20
9.122,0.972,4.353,0.6646,-0.1825,-0.1551,29.18
9.120,0.505,4.029,0.4727,-0.1130,-0.0221,29.19
9.275,1.125,4.559,0.8599,-0.1535,-0.0400,29.18
9.586,0.939,4.142,0.4016,-0.1247,0.1921,29.19
9.500,1.101,4.226,0.4807,-0.1740,0.2425,29.19
9.565,0.697,3.651,0.2249,-0.1705,0.2750,29.19
9.474,0.476,3.838,0.2385,-0.2092,0.3627,29.19
9.098,0.867,4.013,0.3552,-0.3083,0.3230,29.19
8.990,0.857,4.001,0.2310,-0.2683,0.0616,29.19
9.522,0.804,3.610,0.5513,-0.3480,0.1370,29.20
9.883,0.838,3.701,0.2745,-0.2419,0.3557,29.18
9.680,0.759,3.716,0.3866,-0.3472,0.2361,29.19
9.742,0.599,3.699,0.3000,-0.3352,0.2268,29.18
10.137,0.907,3.745,0.2060,-0.3262,0.6387,29.20
10.637,-0.649,3.931,0.1100,-0.1636,0.5692,29.20
8.260,1.520,4.085,-0.1825,-0.3309,0.8817,29.19
8.926,0.239,3.311,-0.1239,-0.1258,0.5215,29.19
